source_vtd_geoid,source_vtd_code,source_vtd_name,source_vtd_area_m2,precinct_key,target_id,target_name,COUNTYFP20,prec_id,intersection_area_m2,source_blocks,area_weight,source_area_share_pct
16031031005,031005,burley 2 Voting District,1232977.7707246186,16031031005,16031312706,CASSIA - 312706,031,312706,508.3639145988531,4,0.0004123058230807265,0.041230582308072646
16031031005,031005,burley 2 Voting District,1232977.7707246186,16031031005,16031312725,CASSIA - 312725,031,312725,3.9139151894318405e-05,1,3.17435989712259e-11,3.1743598971225895e-09
16031031006,031006,burley 3 Voting District,3283783.30903463,16031031006,16031312706,CASSIA - 312706,031,312706,3269304.695679516,54,0.995590874307912,99.55908743079121
16031031006,031006,burley 3 Voting District,3283783.30903463,16031031006,16031312712,CASSIA - 312712,031,312712,0.3145333641545227,1,9.578383667678411e-08,9.578383667678411e-06
16031031006,031006,burley 3 Voting District,3283783.30903463,16031031006,16031312725,CASSIA - 312725,031,312725,1794.031617932432,2,0.0005463306951456072,0.05463306951456073
16031031006,031006,burley 3 Voting District,3283783.30903463,16031031006,16067672703,MINIDOKA - 672703,067,672703,2519.9810345926917,2,0.0007674017428797755,0.07674017428797755
16031031006,031006,burley 3 Voting District,3283783.30903463,16031031006,16067672704,MINIDOKA - 672704,067,672704,10164.286168730958,1,0.0030952974700754737,0.3095297470075474
16031031007,031007,burley 4 Voting District,1302862.4456627609,16031031007,16031312703,CASSIA - 312703,031,312703,303.91339159699794,2,0.00023326590816147012,0.023326590816147012
16031031007,031007,burley 4 Voting District,1302862.4456627609,16031031007,16031312704,CASSIA - 312704,031,312704,644.0009764545655,3,0.0004942969832298487,0.049429698322984876
16031031007,031007,burley 4 Voting District,1302862.4456627609,16031031007,16031312705,CASSIA - 312705,031,312705,981949.0541356062,25,0.7536858993860189,75.3685899386019
16031031007,031007,burley 4 Voting District,1302862.4456627609,16031031007,16031312706,CASSIA - 312706,031,312706,319965.47715910024,19,0.2455865377225875,24.55865377225875
16031031007,031007,burley 4 Voting District,1302862.4456627609,16031031007,16031312712,CASSIA - 312712,031,312712,8.533702903807013e-08,2,6.549964604640939e-14,6.5499646046409396e-12
16031031008,031008,burley 5 Voting District,1720363.9583288822,16031031008,16031312702,CASSIA - 312702,031,312702,331015.38161472406,2,0.19241008858164174,19.241008858164175
16031031008,031008,burley 5 Voting District,1720363.9583288822,16031031008,16031312703,CASSIA - 312703,031,312703,1389348.4414715478,30,0.8075898328055684,80.75898328055683
16031031008,031008,burley 5 Voting District,1720363.9583288822,16031031008,16031312704,CASSIA - 312704,031,312704,0.13524273415178717,4,7.86128618290507e-08,7.861286182905071e-06
16031031009,031009,burley 6 Voting District,3034497.2153556775,16031031009,16031312701,CASSIA - 312701,031,312701,2961960.345450868,54,0.9760959181185779,97.60959181185778
16031031009,031009,burley 6 Voting District,3034497.2153556775,16031031009,16031312702,CASSIA - 312702,031,312702,6.876040257499652e-07,1,2.2659570167684935e-13,2.2659570167684936e-11
16031031009,031009,burley 6 Voting District,3034497.2153556775,16031031009,16031312706,CASSIA - 312706,031,312706,0.03353838554134002,1,1.1052369852779363e-08,1.1052369852779363e-06
16031031009,031009,burley 6 Voting District,3034497.2153556775,16031031009,16031312721,CASSIA - 312721,031,312721,31026.338334706546,2,0.010224540058136092,1.0224540058136091
16031031009,031009,burley 6 Voting District,3034497.2153556775,16031031009,16031312725,CASSIA - 312725,031,312725,1077.9576004021828,8,0.0003552343350151448,0.03552343350151448
16031031009,031009,burley 6 Voting District,3034497.2153556775,16031031009,16067672702,MINIDOKA - 672702,067,672702,40432.54043096442,2,0.013324296435785416,1.3324296435785417
16031031010,031010,burley 7 Voting District,3075447.654008391,16031031010,16031312701,CASSIA - 312701,031,312701,1433.830160918061,3,0.0004662183598050435,0.04662183598050435
16031031010,031010,burley 7 Voting District,3075447.654008391,16031031010,16031312706,CASSIA - 312706,031,312706,260418.3709505677,10,0.08467657403017441,8.46765740301744
16031031010,031010,burley 7 Voting District,3075447.654008391,16031031010,16031312725,CASSIA - 312725,031,312725,2798555.674040995,46,0.9099669345350397,90.99669345350398
16031031010,031010,burley 7 Voting District,3075447.654008391,16031031010,16067672702,MINIDOKA - 672702,067,672702,3001.8078884294237,2,0.0009760555945463781,0.09760555945463781
