source_vtd_geoid,source_vtd_code,source_countyfp00,source_vtd_name,precinct_key,target_id,target_name,COUNTYFP,nhgis_weight,source_blocks,target_blocks,allocated_pop2000,allocated_housing2000,crosswalk_method,source_block_weight_sum,source_block_weight_avg,source_vtd_pop2000,source_vtd_housing2000,population_weight,housing_weight,block_weight,effective_weight,crosswalk_basis
16001001098,001098,001,Voting District 001098,16001001098,16001,Ada,001,53.9999999999,54,67,3890.999999987,1440.9999999959,nhgis_block_weight_chain_2000_2010_2020,53.9999999999,0.9999999999981481,3890.999999987,1440.9999999959,1.0,1.0,1.0,1.0,population
16001001099,001099,001,Voting District 001099,16001001099,16001,Ada,001,39.0000000003,39,38,2520.0000000073,794.0000000022001,nhgis_block_weight_chain_2000_2010_2020,39.0000000003,1.0000000000076923,2520.0000000073,794.0000000022001,1.0,1.0,1.0,1.0,population
16001001100,001100,001,Voting District 001100,16001001100,16001,Ada,001,61.00000000000989,61,103,2761.00000000816,912.0000000025742,nhgis_block_weight_chain_2000_2010_2020,61.00000000000989,1.000000000000162,2761.00000000816,912.0000000025742,1.0,1.0,1.0,1.0,population
16001001101,001101,001,Voting District 001101,16001001101,16001,Ada,001,61.9999999999,62,50,2562.9999999997,888.9999999998,nhgis_block_weight_chain_2000_2010_2020,61.9999999999,0.9999999999983871,2562.9999999997,888.9999999998,1.0,1.0,1.0,1.0,population
16001001102,001102,001,Voting District 001102,16001001102,16001,Ada,001,82.0000000001,82,62,4413.0000000152995,1515.0000000056,nhgis_block_weight_chain_2000_2010_2020,82.0000000001,1.0000000000012195,4413.0000000152995,1515.0000000056,1.0,1.0,1.0,1.0,population
16001001103,001103,001,Voting District 001103,16001001103,16001,Ada,001,53.0000000003,53,57,2684.000000027,940.0000000088,nhgis_block_weight_chain_2000_2010_2020,53.0000000003,1.0000000000056604,2684.000000027,940.0000000088,1.0,1.0,1.0,1.0,population
16001001104,001104,001,Voting District 001104,16001001104,16001,Ada,001,19.0,19,18,1157.0,445.0,nhgis_block_weight_chain_2000_2010_2020,19.0,1.0,1157.0,445.0,1.0,1.0,1.0,1.0,population
16001001105,001105,001,Voting District 001105,16001001105,16001,Ada,001,103.00000000105778,103,326,4340.000000041463,1497.0000000135487,nhgis_block_weight_chain_2000_2010_2020,103.00000000105778,1.0000000000102698,4340.000000041463,1497.0000000135487,1.0,1.0,1.0,1.0,population
16001001106,001106,001,Voting District 001106,16001001106,16001,Ada,001,44.00000000032444,44,55,3028.000000055579,1155.0000000227196,nhgis_block_weight_chain_2000_2010_2020,44.00000000032444,1.0000000000073737,3028.000000055579,1155.0000000227196,1.0,1.0,1.0,1.0,population
16001001107,001107,001,Voting District 001107,16001001107,16001,Ada,001,40.0,40,37,4032.0,1592.0,nhgis_block_weight_chain_2000_2010_2020,40.0,1.0,4032.0,1592.0,1.0,1.0,1.0,1.0,population
16001001108,001108,001,Voting District 001108,16001001108,16001,Ada,001,17.999999999899998,18,14,981.999999981,390.9999999927,nhgis_block_weight_chain_2000_2010_2020,17.999999999899998,0.9999999999944443,981.999999981,390.9999999927,1.0,1.0,1.0,1.0,population
