precinct_id,CVAP_TOT24
BONNEVILLE - 193302,2462
BONNEVILLE - 193303,1508
BONNEVILLE - 193304,1586
BONNEVILLE - 193305,1924
BONNEVILLE - 193306,1158
BONNEVILLE - 193307,2318
BONNEVILLE - 193308,2357
BONNEVILLE - 193309,2757
BONNEVILLE - 193310,1634
BONNEVILLE - 193311,2054
BONNEVILLE - 193312,1483
BONNEVILLE - 193314,1314
BONNEVILLE - 193315,1474
BONNEVILLE - 193316,1513
BONNEVILLE - 193317,1635
BONNEVILLE - 193318,1898
BONNEVILLE - 193319,1503
BONNEVILLE - 193320,2298
BONNEVILLE - 193323,1863
BONNEVILLE - 193324,1535
BONNEVILLE - 193326,2342
BONNEVILLE - 193443,1560
BONNEVILLE - 193444,1528
BONNEVILLE - 193453,1095
BONNEVILLE - 193454,571
BOUNDARY - 211001,502
BOUNDARY - 211002,720
BOUNDARY - 211003,1210
BOUNDARY - 211004,2625
BOUNDARY - 211005,1867
BOUNDARY - 211006,1430
BOUNDARY - 211007,1235
BUTTE - 233501,587
BUTTE - 233502,427
BUTTE - 233503,246
BUTTE - 233504,695
CAMAS - 252601,390
CAMAS - 252602,422
CANYON - 271007,1529
CANYON - 271008,2339
CANYON - 271009,3473
CANYON - 271010,1992
CANYON - 271011,2048
CANYON - 271012,3263
CANYON - 271013,2794
CANYON - 271014,2858
CANYON - 271015,2836
CANYON - 271016,6604
CANYON - 271017,1621
CANYON - 271018,2202
CANYON - 271019,2451
CANYON - 271020,746
CANYON - 271126,2299
CANYON - 271127,2624
CANYON - 271128,2017
CANYON - 271129,2876
CANYON - 271130,3346
CANYON - 271131,2864
CANYON - 271132,2273
CANYON - 271133,1054
CANYON - 271134,821
CANYON - 271135,2249
CANYON - 271136,1737
CANYON - 271137,1404
CANYON - 271138,1088
CANYON - 271139,2032
CANYON - 271140,4259
CANYON - 271141,3887
CANYON - 271142,3736
CANYON - 271143,1355
CANYON - 271144,631
CANYON - 271249,3954
CANYON - 271250,1776
CANYON - 271251,3193
CANYON - 271252,3459
CANYON - 271253,4484
CANYON - 271254,4532
CANYON - 271255,2513
CANYON - 271256,2237
CANYON - 271257,4323
CANYON - 271258,1875
CANYON - 271259,3840
CANYON - 271260,3064
CANYON - 271261,2750
CANYON - 271262,3310
CANYON - 271369,2573
CANYON - 271370,2155
CANYON - 271371,2146
CANYON - 271372,1967
CANYON - 271373,3090
CANYON - 271374,4512
CANYON - 271375,2363
CANYON - 271376,5550
CANYON - 271377,2698
CANYON - 271378,3811
CANYON - 271379,2129
CANYON - 271380,3505
CANYON - 271381,2473
CANYON - 271382,2950
CANYON - 279001,2245
CANYON - 279002,1232
CANYON - 279003,2383
CARIBOU - 293201,1095
CARIBOU - 293202,799
CARIBOU - 293203,725
CARIBOU - 293204,361
CARIBOU - 293205,563
CARIBOU - 293206,102
CARIBOU - 293207,740
CARIBOU - 293208,588
CARIBOU - 293209,30
CASSIA - 312701,721
CASSIA - 312702,812
CASSIA - 312703,1134
CASSIA - 312704,1406
CASSIA - 312705,1097
CASSIA - 312706,1647
CASSIA - 312707,376
CASSIA - 312708,158
CASSIA - 312709,87
CASSIA - 312710,868
CASSIA - 312711,176
CASSIA - 312712,1378
CASSIA - 312713,346
CASSIA - 312714,252
CASSIA - 312715,529
CASSIA - 312716,387
CASSIA - 312717,558
CASSIA - 312718,132
CASSIA - 312719,585
CASSIA - 312720,948
CASSIA - 312721,1022
CASSIA - 312722,41
CASSIA - 312723,710
CASSIA - 312724,299
CASSIA - 312725,324
CLARK - 333501,201
CLARK - 333502,118
CLARK - 333503,164
CLEARWATER - 357001,1160
CLEARWATER - 357002,1528
CLEARWATER - 357003,972
CLEARWATER - 357004,606
CLEARWATER - 357005,852
CLEARWATER - 357006,152
CLEARWATER - 357007,65
CLEARWATER - 357008,201
CLEARWATER - 357009,776
CLEARWATER - 357010,22
CLEARWATER - 357011,424
CLEARWATER - 357012,453
CLEARWATER - 357013,152
CLEARWATER - 357014,163
CUSTER - 378001,559
CUSTER - 378002,363
CUSTER - 378003,726
CUSTER - 378004,237
CUSTER - 378005,94
CUSTER - 378006,245
CUSTER - 378007,495
CUSTER - 378008,422
CUSTER - 378009,685
ELMORE - 392301,29
ELMORE - 392303,101
ELMORE - 392304,1265
ELMORE - 392305,478
ELMORE - 392306,312
ELMORE - 392307,338
ELMORE - 392308,2711
ELMORE - 392309,2121
ELMORE - 392310,1650
ELMORE - 392311,1724
ELMORE - 392312,1840
ELMORE - 392313,1063
ELMORE - 392314,1600
ELMORE - 392315,3615
ELMORE - 392316,1628
ELMORE - 392317,211
ELMORE - 392318,116
FRANKLIN - 413201,864
FRANKLIN - 413202,1076
FRANKLIN - 413203,739
FRANKLIN - 413204,694
FRANKLIN - 413205,676
FRANKLIN - 413206,259
FRANKLIN - 413207,511
FRANKLIN - 413208,799
FRANKLIN - 413209,520
FRANKLIN - 413210,1035
FRANKLIN - 413211,453
FRANKLIN - 413212,251
FRANKLIN - 413213,159
FRANKLIN - 413214,416
FRANKLIN - 413215,803
FRANKLIN - 413216,595
FRANKLIN - 413217,486
FREMONT - 433501,622
FREMONT - 433502,897
FREMONT - 433503,934
FREMONT - 433504,210
FREMONT - 433505,850
FREMONT - 433506,799
FREMONT - 433507,295
FREMONT - 433508,676
FREMONT - 433510,978
FREMONT - 433511,823
FREMONT - 433512,1478
FREMONT - 433513,703
FREMONT - 433514,164
FREMONT - 433515,838
GEM - 458001,916
GEM - 458002,1190
GEM - 458003,1376
GEM - 458004,1141
GEM - 458005,1748
GEM - 458006,2002
GEM - 458007,893
GEM - 458008,1405
GEM - 458009,1303
GEM - 458010,1148
GEM - 458011,1365
GEM - 458012,814
GEM - 458013,173
GOODING - 472601,982
GOODING - 472602,1579
GOODING - 472603,2423
GOODING - 472604,1687
GOODING - 472605,1511
GOODING - 472606,353
GOODING - 472607,1800
IDAHO - 497001,123
IDAHO - 497002,335
IDAHO - 497003,533
IDAHO - 497004,557
IDAHO - 497005,356
IDAHO - 497006,246
IDAHO - 497007,280
IDAHO - 497008,211
IDAHO - 497009,281
IDAHO - 497010,977
IDAHO - 497011,943
IDAHO - 497012,662
IDAHO - 497013,842
IDAHO - 497014,748
IDAHO - 497015,259
IDAHO - 497016,48
IDAHO - 497017,1501
IDAHO - 497018,736
IDAHO - 497019,1697
IDAHO - 497020,136
IDAHO - 497021,405
IDAHO - 497022,510
IDAHO - 497023,102
IDAHO - 497024,581
IDAHO - 497025,401
IDAHO - 497026,297
IDAHO - 497027,84
JEFFERSON - 513501,1236
JEFFERSON - 513502,658
JEFFERSON - 513503,4107
JEFFERSON - 513504,2406
JEFFERSON - 513505,1013
JEFFERSON - 513506,1360
JEFFERSON - 513507,2184
JEFFERSON - 513508,990
JEFFERSON - 513509,480
JEFFERSON - 513510,481
JEFFERSON - 513511,1119
JEFFERSON - 513512,341
JEFFERSON - 513513,412
JEFFERSON - 513514,857
JEFFERSON - 513515,671
JEFFERSON - 513516,817
JEFFERSON - 513517,2557
JEROME - 532501,1165
JEROME - 532502,778
JEROME - 532503,884
JEROME - 532504,2677
JEROME - 532505,1675
JEROME - 532506,1781
JEROME - 532507,1870
JEROME - 532508,847
JEROME - 532509,1654
JEROME - 532510,1375
KOOTENAI - 552001,1944
KOOTENAI - 552002,2070
KOOTENAI - 552003,2149
KOOTENAI - 552004,1238
KOOTENAI - 552005,2802
KOOTENAI - 552006,2892
KOOTENAI - 552007,3191
KOOTENAI - 552012,1085
KOOTENAI - 552013,985
KOOTENAI - 552014,2814
KOOTENAI - 552015,2259
KOOTENAI - 552016,2017
KOOTENAI - 552017,1578
KOOTENAI - 552018,3083
KOOTENAI - 552019,1691
KOOTENAI - 552020,2471
KOOTENAI - 552021,1583
KOOTENAI - 552022,1232
KOOTENAI - 552041,1456
KOOTENAI - 552061,2236
KOOTENAI - 552067,606
KOOTENAI - 552068,1472
KOOTENAI - 552070,877
KOOTENAI - 553008,4817
KOOTENAI - 553009,5643
KOOTENAI - 553010,951
KOOTENAI - 553011,2156
KOOTENAI - 553023,2534
KOOTENAI - 553024,1259
KOOTENAI - 553025,3874
KOOTENAI - 553026,1189
KOOTENAI - 553027,1265
KOOTENAI - 553028,6875
KOOTENAI - 553029,1567
KOOTENAI - 553030,2884
KOOTENAI - 553031,1251
KOOTENAI - 553032,1988
KOOTENAI - 553033,1265
KOOTENAI - 553034,2078
KOOTENAI - 553035,975
KOOTENAI - 553036,1272
KOOTENAI - 553063,1783
KOOTENAI - 553064,928
KOOTENAI - 553065,1168
KOOTENAI - 553066,1212
KOOTENAI - 553069,1484
KOOTENAI - 554037,3045
KOOTENAI - 554038,2290
KOOTENAI - 554039,5145
KOOTENAI - 554040,3846
KOOTENAI - 554042,1596
KOOTENAI - 554043,2791
KOOTENAI - 554044,1502
KOOTENAI - 554045,2063
KOOTENAI - 554046,2305
KOOTENAI - 554047,2366
KOOTENAI - 554048,1484
KOOTENAI - 554049,1464
KOOTENAI - 554050,940
KOOTENAI - 554051,1811
KOOTENAI - 554052,1501
KOOTENAI - 554053,1783
KOOTENAI - 554054,1887
KOOTENAI - 554055,1209
KOOTENAI - 554056,1035
KOOTENAI - 554057,1694
KOOTENAI - 554058,1289
KOOTENAI - 554059,910
KOOTENAI - 554060,1124
KOOTENAI - 554062,717
LATAH - 575001,619
LATAH - 575002,1690
LATAH - 575003,1323
LATAH - 575004,1001
LATAH - 575005,1007
LATAH - 575006,1805
LATAH - 575007,1990
LATAH - 575008,2807
LATAH - 575009,807
LATAH - 575010,1369
LATAH - 575011,1088
LATAH - 575012,1164
LATAH - 575013,952
LATAH - 575014,1103
LATAH - 575015,996
LATAH - 575016,1694
LATAH - 575017,857
LATAH - 575018,1220
LATAH - 575019,1236
LATAH - 575020,75
LATAH - 575021,1388
LATAH - 575022,332
LATAH - 575023,560
LATAH - 575024,471
LATAH - 575025,116
LATAH - 575026,390
LATAH - 575027,1158
LATAH - 575028,559
LATAH - 575029,1725
LATAH - 575030,485
LATAH - 575031,285
LATAH - 575032,217
LEMHI - 598001,282
LEMHI - 598002,406
LEMHI - 598003,105
LEMHI - 598004,341
LEMHI - 598005,2332
LEMHI - 598006,1512
LEMHI - 598007,1390
LEMHI - 598008,122
LEMHI - 598009,323
LEWIS - 616001,535
LEWIS - 616002,261
LEWIS - 616003,947
LEWIS - 616004,538
LEWIS - 616005,442
LEWIS - 616006,70
LEWIS - 616007,65
LEWIS - 616008,5
LINCOLN - 632601,1416
LINCOLN - 632603,634
LINCOLN - 632604,831
LINCOLN - 632605,451
LINCOLN - 632606,94
MADISON - 653401,324
MADISON - 653402,2009
MADISON - 653403,1782
MADISON - 653404,727
MADISON - 653405,2242
MADISON - 653406,1536
MADISON - 653407,2057
MADISON - 653408,4043
MADISON - 653409,2593
MADISON - 653410,5215
MADISON - 653411,2681
MADISON - 653412,2564
MADISON - 653413,3036
MADISON - 653414,1594
MADISON - 653415,3632
MADISON - 653416,2794
MADISON - 653417,227
MADISON - 653418,1003
MADISON - 653419,1210
MINIDOKA - 672701,1007
MINIDOKA - 672702,1256
MINIDOKA - 672703,2010
MINIDOKA - 672704,1579
MINIDOKA - 672705,1522
MINIDOKA - 672706,1100
MINIDOKA - 672708,1441
MINIDOKA - 672709,1600
MINIDOKA - 672710,1176
MINIDOKA - 6727A1,1332
MINIDOKA - 6727B1,596
NEZ PERCE - 696001,1566
NEZ PERCE - 696002,1333
NEZ PERCE - 696003,1782
NEZ PERCE - 696004,1155
NEZ PERCE - 696005,990
NEZ PERCE - 696006,1507
NEZ PERCE - 696007,782
NEZ PERCE - 696008,1246
NEZ PERCE - 696009,1827
NEZ PERCE - 696010,857
NEZ PERCE - 696011,1536
NEZ PERCE - 696012,698
NEZ PERCE - 696013,1043
NEZ PERCE - 696014,1018
NEZ PERCE - 696015,1069
NEZ PERCE - 696016,1296
NEZ PERCE - 696017,1056
NEZ PERCE - 696018,1028
NEZ PERCE - 696019,1169
NEZ PERCE - 696020,1172
NEZ PERCE - 696021,1394
NEZ PERCE - 696022,1642
NEZ PERCE - 696023,168
NEZ PERCE - 696024,1141
NEZ PERCE - 696025,1012
NEZ PERCE - 696026,1591
NEZ PERCE - 696027,343
NEZ PERCE - 696028,452
NEZ PERCE - 696029,333
NEZ PERCE - 696030,229
NEZ PERCE - 696031,681
NEZ PERCE - 696032,311
ONEIDA - 713201,897
ONEIDA - 713202,902
ONEIDA - 713203,925
ONEIDA - 713204,532
ONEIDA - 713205,128
ONEIDA - 713206,94
OWYHEE - 732301,1222
OWYHEE - 732302,1988
OWYHEE - 732303,1157
OWYHEE - 732304,1037
OWYHEE - 732305,88
OWYHEE - 732306,867
OWYHEE - 732307,498
OWYHEE - 732308,184
OWYHEE - 732309,907
OWYHEE - 732310,354
OWYHEE - 732311,182
OWYHEE - 732312,32
PAYETTE - 759001,2197
PAYETTE - 759002,3024
PAYETTE - 759003,1548
PAYETTE - 759004,1139
PAYETTE - 759005,3330
PAYETTE - 759006,2459
PAYETTE - 759007,561
PAYETTE - 759008,2616
PAYETTE - 759009,1967
PAYETTE - 759010,370
POWER - 772801,796
POWER - 772802,1301
POWER - 772803,1936
POWER - 772804,386
POWER - 772805,118
POWER - 772806,573
SHOSHONE - 797001,193
SHOSHONE - 797002,662
SHOSHONE - 797003,1227
SHOSHONE - 797004,457
SHOSHONE - 797005,1448
SHOSHONE - 797006,2510
SHOSHONE - 797007,110
SHOSHONE - 797008,873
SHOSHONE - 797009,2107
SHOSHONE - 797010,974
SHOSHONE - 797011,146
SHOSHONE - 797012,73
SHOSHONE - 797013,47
TETON - 813201,1356
TETON - 813202,757
TETON - 813203,693
TETON - 813204,1693
TETON - 813205,898
TETON - 813206,1890
TETON - 813207,1482
TWIN FALLS - 832301,898
TWIN FALLS - 832302,1262
TWIN FALLS - 832303,855
TWIN FALLS - 832304,563
TWIN FALLS - 832305,493
TWIN FALLS - 832401,2438
TWIN FALLS - 832402,2638
TWIN FALLS - 832403,1948
TWIN FALLS - 832404,1846
TWIN FALLS - 832405,1337
TWIN FALLS - 832406,1524
TWIN FALLS - 832407,1670
TWIN FALLS - 832408,1271
TWIN FALLS - 832409,2036
TWIN FALLS - 832410,1404
TWIN FALLS - 832411,1409
TWIN FALLS - 832412,1770
TWIN FALLS - 832413,2783
TWIN FALLS - 832414,2085
TWIN FALLS - 832415,1283
TWIN FALLS - 832416,1028
TWIN FALLS - 832417,1534
TWIN FALLS - 832418,1868
TWIN FALLS - 832419,1036
TWIN FALLS - 832420,3344
TWIN FALLS - 832421,2521
TWIN FALLS - 832422,1205
TWIN FALLS - 832423,1076
TWIN FALLS - 832501,557
TWIN FALLS - 832503,1178
TWIN FALLS - 832504,1120
TWIN FALLS - 832505,1338
TWIN FALLS - 832506,1524
TWIN FALLS - 832507,1718
TWIN FALLS - 832508,1179
TWIN FALLS - 832509,1293
TWIN FALLS - 832510,875
TWIN FALLS - 832511,1568
TWIN FALLS - 832512,1023
TWIN FALLS - 832513,1979
TWIN FALLS - 832514,1186
TWIN FALLS - 832524,1168
TWIN FALLS - 832525,867
TWIN FALLS - 832526,1568
VALLEY - 858001,2279
VALLEY - 858002,2685
VALLEY - 858003,945
VALLEY - 858004,2175
VALLEY - 858005,552
VALLEY - 858006,293
VALLEY - 858007,132
VALLEY - 858008,894
WASHINGTON - 879001,805
WASHINGTON - 879002,888
WASHINGTON - 879003,534
WASHINGTON - 879004,869
WASHINGTON - 879005,696
WASHINGTON - 879006,500
WASHINGTON - 879007,903
WASHINGTON - 879008,768
WASHINGTON - 879009,1069
WASHINGTON - 879010,693
WASHINGTON - 879011,531
